City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,kodiak,57.79,-152.4072,-1.27,100,0,2.06,US,1733406585
154,male,4.1748,73.5089,28.97,74,20,2.57,MV,1733406587
155,kenora,49.8167,-94.4337,-14.46,85,100,2.57,CA,1733406542
156,isiro,2.7739,27.616,31.33,31,100,1.04,CD,1733406590
157,manaure,11.7751,-72.4445,29.29,65,13,8.93,CO,1733406591
158,arkhangel'sk,64.5401,40.5433,-6.94,93,0,3.0,RU,1733406592
159,choyr,46.3611,108.3611,-9.36,56,42,4.22,MN,1733406593
160,nizhnekamsk,55.6366,51.8245,-3.56,86,100,4.0,RU,1733406595
161,aasiaat,68.7098,-52.8699,-16.31,99,98,2.89,GL,1733406596
162,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,93,75,1.0,RU,1733406597
163,yuzhno-kurilsk,44.0306,145.8556,-0.24,64,71,8.59,RU,1733406598
164,antonio enes,-16.2325,39.9086,29.21,68,6,7.56,MZ,1733406599
165,saint-denis,48.9167,2.3333,9.34,95,100,6.69,FR,1733406600
166,menomonie,44.8755,-91.9193,-8.98,73,100,4.63,US,1733406602
167,papatowai,-46.5619,169.4708,11.26,74,97,6.97,NZ,1733406603
168,guasdualito,7.2424,-70.7324,25.98,89,20,1.54,VE,1733406604
169,dryden,49.7833,-92.7503,-12.84,78,100,3.6,CA,1733406605
170,gadani,25.1185,66.7299,25.59,48,36,3.09,PK,1733406606
171,arraial do cabo,-22.9661,-42.0278,22.98,100,100,2.06,BR,1733406407
172,uturoa,-16.7333,-151.4333,26.92,77,100,6.89,PF,1733406608
173,anadyr,64.75,177.4833,-24.72,83,0,5.0,RU,1733406610
174,holualoa,19.6228,-155.9522,20.91,78,0,2.57,US,1733406611
175,cobija,-11.0267,-68.7692,27.1,89,100,4.12,BO,1733406612
176,sao joao da barra,-21.6403,-41.0511,29.05,86,97,3.41,BR,1733406613
177,ferkessedougou,9.6,-5.2,34.91,8,23,3.82,CI,1733406614
178,pathein,16.7833,94.7333,23.13,73,11,3.11,MM,1733406616
179,kostomuksha,64.571,30.5767,-6.38,89,75,4.28,RU,1733406618
180,port mathurin,-19.6833,63.4167,25.09,74,98,8.59,MU,1733406619
181,fortuna,40.5982,-124.1573,8.85,95,100,4.12,US,1733406620
182,greenwood,34.1668,-82.1165,11.46,62,34,6.6,US,1733406621
183,taltal,-25.4,-70.4833,18.66,70,100,2.35,CL,1733406622
184,pieksamaki,62.3,27.1333,-4.46,90,7,3.74,FI,1733406623
185,telsiai,55.9814,22.2472,0.56,98,100,4.42,LT,1733406625
186,agbabu,6.5886,4.8343,37.15,21,6,1.21,NG,1733406626
187,zheleznogorsk,52.331,35.3711,-2.1,85,100,3.83,RU,1733406627
188,tokar,18.4254,37.729,26.32,73,96,7.17,SD,1733406628
189,kerikeri,-35.2268,173.9474,18.28,88,44,1.41,NZ,1733406629
190,kendari,-3.945,122.4989,25.0,94,100,1.55,ID,1733406630
191,reggane,26.7158,0.1714,23.21,27,2,8.11,DZ,1733406631
192,linxia chengguanzhen,35.6003,103.2064,-3.69,73,7,1.43,CN,1733406632
193,portland,45.5234,-122.6762,3.39,80,75,4.47,US,1733406367
194,kalmunai,7.4167,81.8167,26.53,82,83,3.23,LK,1733406635
195,goondiwindi,-28.55,150.3167,23.7,78,17,6.09,AU,1733406636
196,coyhaique,-45.5752,-72.0662,6.17,99,100,1.21,CL,1733406637
197,cururupu,-1.8283,-44.8683,26.84,73,96,1.43,BR,1733406638
198,betio village,1.358,172.9211,28.02,79,99,9.8,KI,1733406639
199,mamadysh,55.7152,51.408,-4.86,75,7,4.23,RU,1733406640
200,vilyuchinsk,52.9306,158.4028,-2.85,82,30,4.92,RU,1733406642
201,trincomalee,8.5711,81.2335,27.72,80,44,4.23,LK,1733406645
202,yelizovo,53.1873,158.3805,-2.92,93,75,1.0,RU,1733406646
203,twon-brass,4.3151,6.2418,28.68,67,75,6.14,NG,1733406647
204,manggar,-2.8833,108.2667,26.64,85,100,2.53,ID,1733406649
205,kalaleh,37.3807,55.4916,11.78,62,0,0.0,IR,1733406650
206,tweed heads,-28.1817,153.547,22.32,100,0,2.57,AU,1733406651
207,st. john's,47.5649,-52.7093,1.82,73,75,3.6,CA,1733406452
208,mar del plata,-38.0023,-57.5575,21.96,73,0,1.54,AR,1733406462
209,extrema,-22.8547,-46.3183,21.82,82,99,2.03,BR,1733406655
210,kailua-kona,19.6406,-155.9956,22.98,77,0,2.57,US,1733406479
211,aykhal,66.0,111.5,-19.39,100,84,4.66,RU,1733406658
212,lihue,21.9789,-159.3672,23.77,83,75,5.66,US,1733406659
213,mana,5.6592,-53.7767,28.26,66,8,4.14,GF,1733406660
214,uirauna,-6.5183,-38.4122,30.48,43,62,4.58,BR,1733406661
215,saipan,15.1355,145.701,28.39,82,20,4.63,MP,1733406662
216,cidreira,-30.1811,-50.2056,23.39,66,0,3.5,BR,1733406664
217,imperia,43.9667,7.7833,9.67,49,52,2.1,IT,1733406665
218,mooirivier,-29.2082,29.9946,29.02,23,100,4.49,ZA,1733406666
219,kapa'a,22.0752,-159.319,24.18,90,75,5.66,US,1733406667
220,bantogon,6.5333,124.0333,27.16,82,100,2.02,PH,1733406668
221,nichinan,31.6,131.3667,8.28,83,4,1.5,JP,1733406669
222,miquelon,47.0975,-56.3814,1.33,66,100,3.98,PM,1733406672
223,natal,-5.795,-35.2094,30.36,58,40,7.72,BR,1733406408
224,bandarban,22.1965,92.2262,16.38,65,0,1.2,BD,1733406674
225,lerwick,60.1545,-1.1494,8.09,77,15,6.39,GB,1733406675
226,chui,-33.6971,-53.4616,24.4,45,0,3.14,UY,1733406676
227,wabag,-5.4781,143.7021,14.09,97,100,0.32,PG,1733406677
228,champerico,14.3,-91.9167,25.18,64,7,2.52,GT,1733406678
229,panji,-7.7253,114.0995,26.19,87,100,0.52,ID,1733406680
230,ponta delgada,37.7333,-25.6667,18.44,72,75,4.63,PT,1733406681
231,morondava,-20.2833,44.2833,28.83,68,96,5.68,MG,1733406682
232,kattivakkam,13.2167,80.3167,28.05,92,100,2.86,IN,1733406683
233,tucuma,-0.1833,-50.05,26.54,85,100,3.25,BR,1733406451
234,cosala,24.4125,-106.6908,18.32,31,100,1.79,MX,1733406685
235,saint-philippe,-21.3585,55.7679,25.05,76,45,4.79,RE,1733406687
236,alice springs,-23.7,133.8833,26.75,65,75,3.6,AU,1733406688
237,hola,51.5377,23.1902,2.17,92,100,2.0,PL,1733406689
238,shiguai,40.7058,110.2856,-4.35,68,12,4.53,CN,1733406690
239,mogocha,53.7333,119.7667,-15.9,78,98,2.32,RU,1733406691
240,haiku-pauwela,20.9219,-156.3051,20.49,76,2,4.47,US,1733406692
241,nicoya,10.1483,-85.452,25.04,84,33,3.32,CR,1733406693
242,niquelandia,-14.4739,-48.4597,25.93,72,100,1.41,BR,1733406695
243,tindouf,27.6711,-8.1474,23.25,20,0,2.57,DZ,1733406696
